Symbol,Description,Price,Price - Currency,"Dividend yield %, Trailing 12 months","Dividends per share, Annual","Dividends per share, Annual - Currency",Sector
AIRT,"Air T, Inc.",22.6,USD,0,0,USD,Transportation
AIRTP,"Air T, Inc. - Trust Preferred Securities",19.99,USD,,,,Transportation
LVO,"LiveOne, Inc.",5.24,USD,0,0,USD,Commercial services
FMFG,"Farmers and Merchants Bancshares, Inc.",19.03,USD,3.48717948717949,0.68,USD,Finance
TIL,"Instil Bio, Inc.",8.92,USD,0,0,USD,Health technology
BVC,BitVentures Limited,7.2001,USD,0,,,Finance
OPHC,"OptimumBank Holdings, Inc.",5.24,USD,0,0,USD,Finance
CATO,Cato Corporation (The),3.0601,USD,0,0.51,USD,Retail trade
GROV,"Grove Collaborative Holdings, Inc.",1.46,USD,0,0,USD,Consumer non-durables
AOREF,American Overseas Group Limited,1285,USD,0,0,USD,Finance
MYPS,"PLAYSTUDIOS, Inc.",0.4777,USD,0,0,USD,Technology services
LEAT,Leatt Corp.,9.7,USD,0,0,USD,Consumer durables
TZOO,Travelzoo,5.5,USD,0,0,USD,Commercial services
RNWF,"Renewal Fuels, Inc.",0.0204,USD,,0,USD,Industrial services
BTM,Bitcoin Depot Inc.,5.71,USD,0,0,USD,Finance
QTTB,Q32 Bio Inc.,4.65,USD,0,0,USD,Health technology
TKCI,"Turnkey Capital, Inc.",0.1411,USD,0,0,USD,Commercial services
FFWC,FFW Corporation,48.5,USD,1.84677828513445,0.9,USD,Finance
VGAS,"Verde Clean Fuels, Inc.",1.34,USD,0,0,USD,Process industries
GSBX,Golden State Bancorp,32.5,USD,0,0,USD,Finance
IFRX,InflaRx N.V.,0.8869,USD,0,0,USD,Health technology
AASP,Agassi Sports Entertainment Corp.,4.75,USD,0,0,USD,Finance
BDMD,Baird Medical Investment Holdings Ltd,1.6201,USD,0,0,USD,Health technology
MTBLY,Moatable Inc.,3.25,USD,0,,,Technology services
ORBN,"Oregon Bancorp, Inc.",25.6275,USD,3.12683212820012,0.8,USD,Finance
BDL,"Flanigan's Enterprises, Inc.",32,USD,1.66666666666667,0.55,USD,Consumer services
MNY,MoneyHero Limited,1.3567,USD,0,0,USD,Technology services
EDVR,Endeavor Bancorp,17,USD,0,0,USD,Finance
LFVN,Lifevantage Corporation,4.6407,USD,3.81263616557734,0.165,USD,Health technology
AIRG,"Airgain, Inc.",4.96,USD,0,0,USD,Electronic technology
MVLY,Mission Valley Bancorp,18.25,USD,0.801282051282051,,,Finance
NBRGU,Newbridge Acquisition Limited,9.97,USD,0,,,Finance
NRXP,"NRX Pharmaceuticals, Inc.",1.845,USD,0,0,USD,Health technology
JMM,Nuveen Multi-Market Income Fund (MA),6.18,USD,5.48309178743961,0.3405,USD,Miscellaneous
RMCO,Royalty Management Holding Corporation,3.875,USD,0.199468085106383,0,USD,Finance
STG,Sunlands Technology Group,4.37,USD,0,0,USD,Commercial services
HKIT,Hitek Global Inc.,2,USD,0,,,Technology services
PED,Pedevco Corp.,0.6125,USD,0,0,USD,Industrial services
ELTK,Eltek Ltd.,8.72,USD,2.17889908256881,0,USD,Electronic technology
GMM,Global Mofy AI Limited,1.18,USD,0,0,USD,Technology services
PBKX,Partners Bank California,12.9635,USD,,0,USD,Finance
HFBL,"Home Federal Bancorp, Inc. of Louisiana",18.99,USD,2.79094260136914,0.52,USD,Finance
LFGP,"Ledyard Financial Group, Inc.",16.9,USD,4.986642920748,0.84,USD,Finance
HLFN,Home Loan Financial Corp.,41.5,USD,2.64709421248947,1.095,USD,Finance
SFCX,SUPA Consolidated Inc.,0.2,USD,0,0,USD,Commercial services
CPIX,Cumberland Pharmaceuticals Inc.,3.885,USD,0,0,USD,Health technology
